Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount
Libro que no supera 500 pero es del 90 Num(7),,"['xDMsFPuKKITucVxEcqrK', 'tifIdVaqiXeEqEQFnjvW', 'tVkxLUOcVeGzucwqEwOx']",,,tIiTBiNKJt,1909,,"['FUwfnvHCZq', 'mGVIuYZfiw']",
Libro que no supera 500 pero es del 90 Num(0),,"['FKYSFiIEkiYYXmsCdNhz', 'fhFyRqmllQlqlugwJzqR']",,,dYgYYSjMnm,1901,,"['iCzMHujKWk', 'WeeKBmFmeL', 'tfBelIHqBW']",
Libro que cumple Num(9),,"['XKBzvEIEDAkitYojIiLi', 'bhnQQnLlWGZUpoWGlTII', 'SBGrjISaAVjOACJxOOLz']",,,exyKTqyoDT,1997,,"['XvoGNDIPuc', 'SlqEIxkjRZ', 'QGIVhGRjOv']",
Libro que no supera 500 pero es del 90 Num(5),,"['wKFCznGELAaGKCCdiLPy', 'UTxZtPdTbhkoEhLwrLGI']",,,UturUAlNzL,1903,,['tVMqdjWVFn'],
Libro que no supera 500 ni tampoco es del 90(8),,"['MTskPwsGtkQJeglXSlju', 'FScHQSuiqKeMVBzUPgXY']",,,KlXaCySYSU,2006,,['QhOjEXLFwK'],
Libro que cumple Num(4),,['cHETaVFcvjoTEdPMYJnd'],,,oTvABeyMKG,1995,,"['qeHFwySBMT', 'tPRzNnBhcC']",
Libro que cumple Num(12),,"['MfeLzsUJfCBpsuufHLjN', 'KWNpMyQuftthOzOzOptl', 'jvNsokoxWVdULnXPfxVC']",,,CHjoRStnFb,1994,,"['MqfmnTSzQp', 'fSxZwHWePj', 'MEwjaPenAY']",
Libro que supera 500 pero no es del 90 Num(9),,"['PwxNDUvNsgDfTLHUshyw', 'FqfJreXVPnEwOkyLOQLQ']",,,JwsrQIUUVP,2002,,"['BLRNlciSOb', 'jmxmlGXFlY']",
Libro que cumple Num(2),,"['bljzVjeFeQutPLJXAcet', 'utsOSZOtAKTbIjLYxGQz', 'EdBcnPRtzpCJXIlCUQdM']",,,zCgnYeMGDu,1999,,['skcLIIlkYd'],
Libro que supera 500 pero no es del 90 Num(3),,"['rxcoTaatoKRyaXfQxTZB', 'pIVydxmOgHXWrhZLuzza']",,,zNFLcDuwsB,2005,,['xmmvSIMuCB'],
Libro que cumple Num(6),,"['NaqDTonaoUchSRMNlndJ', 'tVkWYjlVwAvYhATSXPFh', 'rXcQZplxHIXjDtULBAPd']",,,RYgTFwiSMN,1996,,['AugMeVRBxf'],
Libro que cumple Num(3),,"['FbgnVtXSKNEIfrOOxSUe', 'pgUzaxaKoRqIGlUECJWM', 'VKjrgnBUecUilzhSdzaO']",,,XzwDEmeRyj,1993,,['XIzKISCMkV'],
Libro que no supera 500 ni tampoco es del 90(5),,['sQeFjgMSeUvbavecoHZh'],,,BKGwSvVdwW,2005,,['DHCqwmqswA'],
Libro que cumple Num(0),,"['OCOzDgEaTbvPAYfdImOJ', 'vaTvryncLQwgfnPhQsHS']",,,IUMMxpBukk,1991,,['kAeMXKkGOz'],
Libro que cumple Num(14),,['AmbpNdizCqzrLucgKWJf'],,,UblubRXnGr,1990,,"['RwcfSluMSL', 'vqDjRyjNHQ', 'uwwVkGAPbU']",
Libro que no supera 500 pero es del 90 Num(2),,['AVJkFrZYEXzCFjRAGIfG'],,,dnlKBgLoWw,1905,,"['GdZelMtaMS', 'VZJfmcILyA']",
Libro que supera 500 pero no es del 90 Num(4),,"['DTwARnMzsZIvXvBMMVPO', 'DPpJBNOUOtxUfcJNBGiJ', 'zveBujKJHztnEDbZrtng']",,,gjqdRrnuvu,2005,,"['aLNajhtYle', 'PlOUHTcKUH', 'WnWOpZJlbc']",
Libro que supera 500 pero no es del 90 Num(1),,"['bQNPdnzjCLNHflKwjKMz', 'YwkfkUqtKIOwHHUfktpH', 'xIzsBzqDjfAhtjfVHCkR']",,,jalvXxxTMC,2000,,['ssIVlmDRnX'],
Libro que no supera 500 ni tampoco es del 90(7),,['lPdBZXbvypwNSZOKiqld'],,,bewTzMOjys,2001,,"['BISkSnabHk', 'ZOTXbiKCxS', 'RGamjXtGif']",
Libro que cumple Num(8),,"['kphiGLCWACzVqtNEMwck', 'WGdHNdUqyLcNlOPRXMWZ', 'nQABYIsQBPFEVnRAKBJK']",,,CIKgPuCvGe,1994,,"['AhcomISjZj', 'uGcdAIkUfp']",
Libro que no supera 500 ni tampoco es del 90(1),,"['JgGJKSCPFygVEQQGUVrk', 'OtAiieISLSBwvaEhPCrc', 'NznrKmuxcYxlJCPOHHjv']",,,RoZqNcaKnH,2001,,"['kXhTElvgmj', 'mHOZvjvtGj', 'ABdgvvCBHR']",
Libro que cumple Num(15),,"['qBtqxKfOTsXPcRzzrthP', 'cBaDXhzzyxXMrNTwllZx']",,,jNJBRfLIMo,1999,,['ImXhNbBJPt'],
Libro que supera 500 pero no es del 90 Num(6),,['pQjHwUNZgYEfoVRZyIAO'],,,FhjlzUmQrc,2008,,['DYlTWUlCwr'],
Libro que cumple Num(1),,['NqxHBqZEjJcjoBnbtdcv'],,,DcUAhdMYMl,1994,,"['nDQNkBUyiW', 'MgglauDnLk']",
Libro que cumple Num(19),,"['mdSaafEWxpxSZWwtSUyd', 'gzqvXxBLVhmsKnIrruVa', 'yeyveakKSfHCoDZgUtPq']",,,bEkmliNlak,1994,,['ANqeutclCV'],
Libro que no supera 500 ni tampoco es del 90(6),,"['qXPnlRvSIotiNKPJygsz', 'dUWZbigyZQprQAvTzqrb']",,,gbDHswYbzb,2008,,['vjBMGlEzOW'],
Libro que cumple Num(16),,"['zSyhGIdAHCzjMkfQUnOA', 'TZWdyejTAqoBwgEeyyAk', 'XrYiZYbKYfusKAnrvbOL']",,,slUMHHdyTo,1999,,['TDZGlOOVuL'],
Libro que cumple Num(7),,"['KLGkuwZWFbOqXJsooNVs', 'qzyLBNyQHkgOraUeuYkA', 'isEHoEmJtfnvxMsRVFhX']",,,QIsnRlAuZY,1996,,['OGVsgoxNsd'],
Libro que supera 500 pero no es del 90 Num(5),,"['yicNTABYiIgGAYGHroxn', 'uwKUjZQLzKIhrSZlLBPl']",,,iUcYjBSNjJ,2002,,"['LhsMTkCclw', 'JBOHPZnszt', 'pOrQKVWLUA']",
Libro que supera 500 pero no es del 90 Num(2),,"['XEPqJfDBvZqUavvhnnBR', 'BZxQedAqzmImtkdJrynF', 'VUnqMpNeJEZOKoMCylCP']",,,rgHXcNwtHf,2003,,"['QpOqRFtxPY', 'BlUXUwQtsE']",
Libro que supera 500 pero no es del 90 Num(0),,"['aHkadVCsMDGEjszwbpTq', 'ErOqrOKqJKzUvJmLZovW', 'QfzkmLajvmoIMBckbMmG']",,,oGZIrwrrkz,2002,,['GAVJihFUpA'],
Libro que no supera 500 ni tampoco es del 90(3),,"['ZJAvozjgNLWrIKqszVpK', 'qHKyGhUoBRQwcZERtTqj', 'QWXVfePazPGPpfFEMujQ']",,,eeshawOXkq,2007,,"['xqJNKVsEKc', 'pxphTXKDWK']",
Libro que no supera 500 pero es del 90 Num(6),,['LiVVGrxIMCXodJoLvhBu'],,,tesytXvmkn,1905,,"['UdAEgBFlJZ', 'TDvqhRGhmd', 'xmgGlDjxhK']",
Libro que cumple Num(18),,"['SshOqAfsecLhsXLdBsCI', 'PdkDVwrOTkHayxRzgFoq', 'WrNPBzmxPlgLreIzJBbG']",,,RyUTgZiFqr,1990,,"['GZErwisaQP', 'vgLWMJRIdx']",
Libro que no supera 500 pero es del 90 Num(4),,['drlSFYvozNRigDZPjKDI'],,,eqwWGpIDwy,1903,,['nVzlxKQkqI'],
Libro que cumple Num(11),,"['nDugvnqHAUCkFcSvFVLj', 'ScsCfSRvQJjlUtjHafzH', 'CpLeDyVAGbTFQrPAqXjY']",,,KVoJOpccCW,1999,,"['TvHjKjROec', 'GFdEfovQzZ']",
Libro que supera 500 pero no es del 90 Num(7),,"['MqRhAPlSToJOZuQCRurk', 'SVeBFxmvKdYEDyPbDDrm', 'yqlFFreciNKYxrUMvrOP']",,,OPNHUnxCna,2001,,"['iyBJHszrlm', 'ClevcAWzhI', 'rFjOTeoefr']",
Libro que no supera 500 pero es del 90 Num(3),,['hxvxUreCLipYlXKzBvax'],,,SrcmLxUpKj,1908,,['qCneidcPJu'],
Libro que supera 500 pero no es del 90 Num(8),,"['eEjxAAsTMzIAwzOONujs', 'ozYpdqBrTdrTrackXCGv', 'REzHSsULMFtikFgMSqOt']",,,UUGGZhmBgN,2002,,['FIKQGsvcLs'],
Libro que cumple Num(13),,"['ynVmXiGWuflNtohXeFdk', 'GfvVTScCcvoSxDnxTcvI', 'EmpANlkpoODPIomvYAJM']",,,TOjyYMEMnY,1996,,"['kdOdrmNcuF', 'kyqLzCGEba', 'aqqzsoMIRG']",
Libro que no supera 500 ni tampoco es del 90(0),,['CpXBXVzpShvLzMLLyVvf'],,,HKoMcKgdie,2006,,"['FTxfqHkjBV', 'eQMPZkUzFH', 'dwrfjbgNfk']",
Libro que no supera 500 pero es del 90 Num(1),,"['EKDOSaBNJkUZaeongEQI', 'XXsyJFTrcJZHZocVqwYp']",,,hSrAVeZYEn,1907,,"['KPINAvJtWq', 'fgOTSsHBPa', 'bIFJeYPBls']",
Libro que no supera 500 ni tampoco es del 90(9),,"['cKUdfnCqMdkgKsMqDHeQ', 'CRWlAvAaDHGqcTpaqXXU', 'NTBSAvHAHvQxktZSJFZU']",,,dUVIJOCbot,2004,,"['HSBDKoYCyv', 'VJfwkRLGtc']",
Libro que cumple Num(5),,['MPgHTthxPjecJKJMIMvq'],,,eiXMSmUbrL,1993,,"['ruErNrabac', 'ZdZvIDoWnK', 'EdkAvlOaKO']",
Libro que cumple Num(10),,"['NnitvGQpdCwbmsMeUPsK', 'iVxCMRDLqZMhlxkHSoga', 'ccEBiJOBlhMepjOykSdm']",,,aawohEBTsN,1991,,"['EEvLVgFJxt', 'mdjrfVyVtB']",
Libro que no supera 500 ni tampoco es del 90(2),,['pPDjdRjWTPcgsWcIlCmL'],,,YpePkDuwct,2004,,"['WQuEplcKxT', 'IIMiBhMAqk']",
Libro que cumple Num(17),,"['vDaTCwnOSMrLOjvJeOXs', 'cOcFYOrRgfmvgusEvtsJ', 'VOQnAucaKnIgmJhgIRZS']",,,kXPQgHuVkP,1990,,"['JutsRtczdc', 'DrZmSjjdds']",
Libro que no supera 500 pero es del 90 Num(9),,['GtypSyeUvrOtDSOQonrV'],,,ygdGKooeWa,1906,,"['itzGqCxiHm', 'dhZkXEGIjx']",
Libro que no supera 500 pero es del 90 Num(8),,['uZKQrydRwRYtfemCqNMT'],,,EPAmxhqtWc,1905,,"['MfwjUlRxmz', 'iXoOIloSYF', 'zohXyWAGfN']",
Libro que no supera 500 ni tampoco es del 90(4),,"['TzYzveTzsivHgMihFRuN', 'CnQcdLTPUVXYVQOIsmoU']",,,gltEyzCham,2001,,"['WudhWwZQfV', 'rGzySOUIlg']",
