Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount
fpXYCLfkzE distributed,,"['BkffwQDWuB', 'lhUYyoOeLI']",,,UHFNKSuQoZ,2022,,['computers'],
RifTwnBQtg,,['ErcblQXKkG'],,,oYaGdoLFOA,1942,,['EdKEmyqsjY'],
kNLpNQVYBE,,"['CMLRsyEAJF', 'bRYwHibTqY', 'KZEoPBojyK']",,,ycOrsLRQSf,1969,,"['ojniSawVAq', 'uiZWqtVprg']",
rBiZyaFFuZ distributed,,['kobLHiHlPU'],,,rgQOFcKzPV,2001,,"['computers', 'TCwyuXkkGH', 'goUScBoayh']",
CEuidkWcbc,,"['GRpnUaSkvN', 'RpKpFsknXn']",,,zmbHoBOiST,1973,,"['ZBCuMEXBJw', 'gDQrLrBDza', 'UiUPWDyxav']",
pmAmtVfCuH,,"['mcaMCgIaiw', 'KfdNOhKjde']",,,YWTWHGsneV,2007,,"['uDrjEkfkCh', 'FZAvFchKbi']",
HQinJefygN,,"['GkZIqrjckH', 'BdIlwbsLBs']",,,ZYhcznqREh,1934,,"['AjYsrxzKgz', 'sMlWEJPzFs']",
RxrZLgKmfQ distributed,,"['KZsFSyPAlX', 'AfncEsKFSm', 'mrMWiKhRdm']",,,FnRVEPiUxv,2002,,['computers'],
BNpVAbyasm,,"['fssoEexDyC', 'KQaFwhBrRt']",,,coKhrwQxGn,1994,,"['GAqfOVdFQx', 'ctJhhNmDTR', 'TVSgcNhgiQ']",
FfAOhsbpGx,,['EQYiWjFsOU'],,,RVFwhQRteQ,1980,,"['kPPJhfbkQV', 'ASsLpDZuQd']",
sqcLCnwKJx,,"['xYZIRcGEzm', 'XPgKlxvVEz', 'lUMGRrjneg']",,,isksdmtksq,1932,,['vCROOwkVCr'],
uCPcPUSinJ distributed,,"['jZfhiAihjS', 'gGwtPNqWNB', 'bzSUjXvSoM']",,,HRUFpXfbXx,2019,,"['computers', 'gjJtNljBlc', 'CQxQhyrXGz']",
